"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01469","TOWNSEND, MA",,"G",1336,"G",10780,"G",47134,127,"TOWNSEND","MA","MIDDLESEX"
"01471","GROTON, MA","E","D",0,"D",0,"D",0,3,"GROTON","MA","MIDDLESEX"
"01472","WEST GROTON, MA",,"H",325,"H",3963,"H",15802,10,"WEST GROTON","MA","MIDDLESEX"
"01473","WESTMINSTER, MA",,"H",1367,"H",15377,"H",67182,157,"WESTMINSTER","MA","WORCESTER"
"01474","WEST TOWNSEND, MA",,"G",110,"G",856,"G",3783,25,"WEST TOWNSEND","MA","MIDDLESEX"
"01475","WINCHENDON, MA",,"G",1218,"G",8504,"G",36572,151,"WINCHENDON","MA","WORCESTER"
"01477","WINCHENDON SPRINGS, MA","A","D",0,"D",0,"D",0,1,"WINCHENDON SPRINGS","MA","WORCESTER"
"01501","AUBURN, MA",,"G",10763,"G",109245,"G",470530,600,"AUBURN","MA","WORCESTER"
"01503","BERLIN, MA",,"H",347,"G",2873,"G",15264,76,"BERLIN","MA","WORCESTER"
"01504","BLACKSTONE, MA",,"G",774,"G",6126,"G",27608,132,"BLACKSTONE","MA","WORCESTER"
"01505","BOYLSTON, MA",,"G",1309,"G",14057,"G",65297,121,"BOYLSTON","MA","WORCESTER"
"01506","BROOKFIELD, MA",,"G",159,"G",990,"G",4561,45,"BROOKFIELD","MA","WORCESTER"
"01507","CHARLTON, MA",,"G",2242,"G",23140,"G",98828,225,"CHARLTON","MA","WORCESTER"
"01508","CHARLTON CITY, MA",,"G",342,"G",1585,"H",7938,23,"CHARLTON CITY","MA","WORCESTER"
"01509","CHARLTON DEPOT, MA",,"J",11,"J",145,"J",861,4,"CHARLTON DEPOT","MA","WORCESTER"
"01510","CLINTON, MA",,"H",3385,"H",38270,"H",179296,244,"CLINTON","MA","WORCESTER"
"01515","EAST BROOKFIELD, MA",,"H",432,"H",2775,"J",13346,44,"EAST BROOKFIELD","MA","WORCESTER"
"01516","DOUGLAS, MA",,"G",714,"G",5889,"G",29958,127,"DOUGLAS","MA","WORCESTER"
