address,link,rest_num
359 15th Street Brooklyn NY,https://www.yelp.com/search?find_loc=359 15th Street Brooklyn NY&cflt=restaurants,292
200 North 11th Street Brooklyn NY,https://www.yelp.com/search?find_loc=200 North 11th Street Brooklyn NY&cflt=restaurants,648
1115 Jerome Avenue Bronx NY,https://www.yelp.com/search?find_loc=1115 Jerome Avenue Bronx NY&cflt=restaurants,223
1745 East 12th Street Brooklyn NY,https://www.yelp.com/search?find_loc=1745 East 12th Street Brooklyn NY&cflt=restaurants,230
250 Hawthorne Street Brooklyn NY,https://www.yelp.com/search?find_loc=250 Hawthorne Street Brooklyn NY&cflt=restaurants,345
213 Irving Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=213 Irving Avenue Brooklyn NY&cflt=restaurants,453
407 West 51st Street Manhattan NY,https://www.yelp.com/search?find_loc=407 West 51st Street Manhattan NY&cflt=restaurants,1638
349 East 58th Street Manhattan NY,https://www.yelp.com/search?find_loc=349 East 58th Street Manhattan NY&cflt=restaurants,1179
238 East 82nd Street Manhattan NY,https://www.yelp.com/search?find_loc=238 East 82nd Street Manhattan NY&cflt=restaurants,696
303 East 33rd Street Manhattan NY,https://www.yelp.com/search?find_loc=303 East 33rd Street Manhattan NY&cflt=restaurants,1504
26 Sickles Street Manhattan NY,https://www.yelp.com/search?find_loc=26 Sickles Street Manhattan NY&cflt=restaurants,248
138 Fulton Street Manhattan NY,https://www.yelp.com/search?find_loc=138 Fulton Street Manhattan NY&cflt=restaurants,1380
5745 163rd Street Flushing NY,https://www.yelp.com/search?find_loc=5745 163rd Street Flushing NY&cflt=restaurants,81
1411 White Plains Road Bronx NY,https://www.yelp.com/search?find_loc=1411 White Plains Road Bronx NY&cflt=restaurants,246
1712 2nd Avenue Manhattan NY,https://www.yelp.com/search?find_loc=1712 2nd Avenue Manhattan NY&cflt=restaurants,611
412 Ocean View Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=412 Ocean View Avenue Brooklyn NY&cflt=restaurants,146
266 67th Street Brooklyn NY,https://www.yelp.com/search?find_loc=266 67th Street Brooklyn NY&cflt=restaurants,279
6714 Ridge Boulevard Brooklyn NY,https://www.yelp.com/search?find_loc=6714 Ridge Boulevard Brooklyn NY&cflt=restaurants,215
3026 31st Street Astoria NY,https://www.yelp.com/search?find_loc=3026 31st Street Astoria NY&cflt=restaurants,584
936 Fulton Street Brooklyn NY,https://www.yelp.com/search?find_loc=936 Fulton Street Brooklyn NY&cflt=restaurants,424
123 West 31st Street New York NY,https://www.yelp.com/search?find_loc=123 West 31st Street New York NY&cflt=restaurants,2487
509 48th Avenue Long Island City NY,https://www.yelp.com/search?find_loc=509 48th Avenue Long Island City NY&cflt=restaurants,198
399 East 78th Street New York NY,https://www.yelp.com/search?find_loc=399 East 78th Street New York NY&cflt=restaurants,687
77 Park Avenue Manhattan NY,https://www.yelp.com/search?find_loc=77 Park Avenue Manhattan NY&cflt=restaurants,2617
1391 Pelham Parkway North Bronx NY,https://www.yelp.com/search?find_loc=1391 Pelham Parkway North Bronx NY&cflt=restaurants,68
156 West 22nd Street Manhattan NY,https://www.yelp.com/search?find_loc=156 West 22nd Street Manhattan NY&cflt=restaurants,2104
146 West 57th Street Manhattan NY,https://www.yelp.com/search?find_loc=146 West 57th Street Manhattan NY&cflt=restaurants,2004
512 East 13th Street Manhattan NY,https://www.yelp.com/search?find_loc=512 East 13th Street Manhattan NY&cflt=restaurants,1281
50 Jefferson Street Brooklyn NY,https://www.yelp.com/search?find_loc=50 Jefferson Street Brooklyn NY&cflt=restaurants,407
233 East 77th Street New York NY,https://www.yelp.com/search?find_loc=233 East 77th Street New York NY&cflt=restaurants,754
169 East 91st Street Manhattan NY,https://www.yelp.com/search?find_loc=169 East 91st Street Manhattan NY&cflt=restaurants,582
29 West 65th Street Manhattan NY,https://www.yelp.com/search?find_loc=29 West 65th Street Manhattan NY&cflt=restaurants,779
51 1st Avenue Manhattan NY,https://www.yelp.com/search?find_loc=51 1st Avenue Manhattan NY&cflt=restaurants,1851
4342 45th Street Sunnyside NY,https://www.yelp.com/search?find_loc=4342 45th Street Sunnyside NY&cflt=restaurants,276
55 West 74th Street Manhattan NY,https://www.yelp.com/search?find_loc=55 West 74th Street Manhattan NY&cflt=restaurants,407
722 Banner Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=722 Banner Avenue Brooklyn NY&cflt=restaurants,181
205 West 95th Street Manhattan NY,https://www.yelp.com/search?find_loc=205 West 95th Street Manhattan NY&cflt=restaurants,398
22 East 93rd Street Manhattan NY,https://www.yelp.com/search?find_loc=22 East 93rd Street Manhattan NY&cflt=restaurants,493
778 Pelham Parkway South Bronx NY,https://www.yelp.com/search?find_loc=778 Pelham Parkway South Bronx NY&cflt=restaurants,170
3707 147th Street Flushing NY,https://www.yelp.com/search?find_loc=3707 147th Street Flushing NY&cflt=restaurants,462
515 West 170th Street Manhattan NY,https://www.yelp.com/search?find_loc=515 West 170th Street Manhattan NY&cflt=restaurants,259
42 West 126th Street Manhattan NY,https://www.yelp.com/search?find_loc=42 West 126th Street Manhattan NY&cflt=restaurants,409
135 East 54th Street Manhattan NY,https://www.yelp.com/search?find_loc=135 East 54th Street Manhattan NY&cflt=restaurants,2019
85 East 10th Street Manhattan NY,https://www.yelp.com/search?find_loc=85 East 10th Street Manhattan NY&cflt=restaurants,1999
949 Willoughby Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=949 Willoughby Avenue Brooklyn NY&cflt=restaurants,429
53112 63rd Street Maspeth NY,https://www.yelp.com/search?find_loc=53112 63rd Street Maspeth NY&cflt=restaurants,148
1801 Ocean Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=1801 Ocean Avenue Brooklyn NY&cflt=restaurants,166
