zip_code,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),18 years and over,21 years and over,62 years and over,65 years and over,18 years and over,Male,Female,65 years and over,Male,Female,One race,Two or more races,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),PCT_Male,PCT_Female,PCT_Under 5 years,PCT_5 to 9 years,PCT_10 to 14 years,PCT_15 to 19 years,PCT_20 to 24 years,PCT_25 to 34 years,PCT_35 to 44 years,PCT_45 to 54 years,PCT_55 to 59 years,PCT_60 to 64 years,PCT_65 to 74 years,PCT_75 to 84 years,PCT_85 years and over,PCT_Median age (years),PCT_18 years and over,PCT_21 years and over,PCT_62 years and over,PCT_65 years and over,PCT_18 years and over,PCT_Male,PCT_Female,PCT_65 years and over,PCT_Male,PCT_Female,PCT_One race,PCT_Two or more races,PCT_One race,PCT_White,PCT_Black or African American,PCT_American Indian and Alaska Native,PCT_Asian,PCT_Native Hawaiian and Other Pacific Islander,PCT_Some other race,PCT_Two or more races,PCT_Hispanic or Latino (of any race)
11356,"24,405","12,109","12,296","1,984","1,518","1,246","1,587","1,767","3,768","3,092","3,480","1,542","1,557","1,545","1,021",298,35.8,"18,675","17,647","3,732","2,864","18,675","8,983","9,692","2,864","1,299","1,565","23,598",807,"23,598","8,632",496,173,"7,751",47,"6,499",807,"9,434",0.496168818,0.503831182,0.081294817,0.062200369,0.051055112,0.065027658,0.072403196,0.154394591,0.126695349,0.142593731,0.063183774,0.063798402,0.063306699,0.041835689,0.012210613,0.001466913,0.765212047,0.723089531,0.152919484,0.117353001,0.765212047,0.368080311,0.397131735,0.117353001,0.053226798,0.064126204,0.966933006,0.033066994,0.966933006,0.353698013,0.020323704,0.007088711,0.317598853,0.001925835,0.26629789,0.033066994,0.386560131
11416,"27,144","13,197","13,947","1,810","1,720","1,833","1,989","2,351","3,884","3,918","3,786","1,819","1,414","1,560",781,279,35,"20,486","19,248","3,532","2,620","20,486","9,904","10,582","2,620","1,087","1,533","25,453","1,691","25,453","7,582","1,597",18,"9,351",48,"6,857","1,691","11,545",0.486184792,0.513815208,0.066681403,0.063365753,0.067528736,0.073275862,0.086612143,0.143088712,0.144341291,0.139478338,0.067012968,0.052092543,0.057471264,0.028772473,0.010278515,0.001289419,0.754715591,0.709106985,0.130120837,0.096522252,0.754715591,0.364868848,0.389846743,0.096522252,0.040045682,0.056476569,0.937702623,0.062297377,0.937702623,0.279325081,0.058834365,0.00066313,0.344496021,0.001768347,0.252615679,0.062297377,0.425324197
10022,"30,262","13,512","16,750","1,369",605,309,661,914,"6,352","4,559","3,641","1,498","1,921","4,264","2,891","1,278",45.9,"27,671","27,214","9,356","8,433","27,671","12,040","15,631","8,433","3,694","4,739","29,856",406,"29,856","25,795",605,50,"3,170",0,236,406,"1,872",0.446500562,0.553499438,0.045238253,0.019992069,0.010210825,0.021842575,0.030202895,0.209900205,0.150650981,0.120315908,0.049501024,0.06347895,0.140902782,0.095532351,0.042231181,0.001516754,0.914381072,0.899279625,0.309166612,0.278666314,0.914381072,0.397858701,0.516522371,0.278666314,0.122067279,0.156599035,0.986583835,0.013416165,0.986583835,0.852389135,0.019992069,0.001652237,0.104751834,0,0.007798559,0.013416165,0.061859758
10029,"79,411","36,291","43,120","3,942","4,038","5,093","5,763","7,081","15,394","10,486","8,912","4,141","4,560","5,076","3,528","1,397",33.6,"63,044","59,249","12,768","10,001","63,044","27,703","35,341","10,001","3,282","6,719","77,329","2,082","77,329","27,547","22,983",185,"6,912",125,"19,577","2,082","37,646",0.457002179,0.542997821,0.049640478,0.050849379,0.064134692,0.07257181,0.089169007,0.193852237,0.132047197,0.112226266,0.052146428,0.057422775,0.063920616,0.044427094,0.017592021,0.000423115,0.793895052,0.746105703,0.160783771,0.125939731,0.793895052,0.348855952,0.4450391,0.125939731,0.041329287,0.084610444,0.97378197,0.02621803,0.97378197,0.346891489,0.289418343,0.002329652,0.087040838,0.001574089,0.246527559,0.02621803,0.474065306
10023,"60,307","27,235","33,072","4,019","1,918","1,617","1,400","2,414","10,986","10,101","7,939","3,968","3,858","6,494","3,350","2,243",42.5,"52,215","51,019","14,248","12,087","52,215","23,029","29,186","12,087","5,092","6,995","59,041","1,266","59,041","49,506","2,060",111,"6,270",21,"1,073","1,266","6,358",0.45160595,0.54839405,0.066642347,0.031803937,0.026812808,0.023214552,0.040028521,0.182167908,0.167492994,0.131643093,0.065796674,0.063972673,0.107682359,0.055549107,0.037193029,0.000704727,0.865819888,0.845988028,0.236257814,0.200424495,0.865819888,0.381862802,0.483957086,0.200424495,0.084434643,0.115989852,0.979007412,0.020992588,0.979007412,0.82089973,0.034158555,0.001840582,0.10396803,0.000348218,0.017792296,0.020992588,0.105427231
11218,"74,831","36,854","37,977","6,785","5,708","5,370","4,243","4,808","12,639","11,107","8,565","3,934","3,892","4,426","2,349","1,005",33.3,"54,251","51,660","10,248","7,780","54,251","27,176","27,075","7,780","3,177","4,603","72,055","2,776","72,055","42,841","6,315",356,"13,676",0,"8,867","2,776","13,974",0.492496425,0.507503575,0.090670979,0.076278548,0.071761703,0.0567011,0.064251447,0.168900589,0.148427791,0.114457912,0.052571795,0.05201053,0.05914661,0.031390734,0.013430263,0.000445003,0.724980289,0.690355601,0.136948591,0.103967607,0.724980289,0.363164998,0.36181529,0.103967607,0.042455667,0.06151194,0.962903075,0.037096925,0.962903075,0.572503374,0.084390159,0.004757387,0.182758482,0,0.118493672,0.037096925,0.186740789
10069,"5,231","2,573","2,658",490,411,104,94,161,"1,396","1,119",764,293,159,149,66,25,34.1,"4,151","4,132",324,240,"4,151","2,001","2,150",240,105,135,"5,083",148,"5,083","3,764",158,0,"1,161",0,0,148,31,0.491875358,0.508124642,0.093672338,0.078570063,0.019881476,0.017969795,0.030778054,0.266870579,0.213917033,0.14605238,0.056012235,0.030395718,0.028484037,0.01261709,0.004779201,0.00651883,0.79353852,0.789906328,0.061938444,0.045880329,0.79353852,0.382527241,0.411011279,0.045880329,0.020072644,0.025807685,0.971707131,0.028292869,0.971707131,0.71955649,0.03020455,0,0.221946091,0,0,0.028292869,0.005926209
10024,"58,516","26,910","31,606","3,021","2,466","2,481","1,796","1,544","10,573","9,267","9,061","3,805","3,934","6,290","2,583","1,695",43,"49,056","48,544","12,475","10,568","49,056","22,043","27,013","10,568","4,395","6,173","56,842","1,674","56,842","47,632","3,146",41,"4,282",0,"1,741","1,674","6,587",0.459874222,0.540125778,0.051626905,0.04214232,0.04239866,0.03069246,0.026385946,0.180685624,0.158366942,0.154846538,0.06502495,0.067229476,0.107491968,0.044141773,0.028966437,0.000734842,0.838334814,0.829585071,0.213189555,0.180600178,0.838334814,0.37670039,0.461634425,0.180600178,0.075107663,0.105492515,0.97139244,0.02860756,0.97139244,0.81399959,0.053763073,0.000700663,0.073176567,0,0.029752546,0.02860756,0.112567503
10021,"45,261","20,172","25,089","3,262","2,322","1,387",752,"1,032","10,283","7,613","4,027","2,250","2,916","5,026","2,924","1,467",38.4,"37,792","37,455","11,089","9,417","37,792","16,151","21,641","9,417","3,658","5,759","43,680","1,581","43,680","37,409",576,316,"4,280",59,"1,040","1,581","3,356",0.445681713,0.554318287,0.072070878,0.051302446,0.030644484,0.016614746,0.022801087,0.227193389,0.168202205,0.088972846,0.049711672,0.064426327,0.111044829,0.06460308,0.03241201,0.000848413,0.834979342,0.827533638,0.245001215,0.208059919,0.834979342,0.356841431,0.478137911,0.208059919,0.080820132,0.127239787,0.965069265,0.034930735,0.965069265,0.826517311,0.012726188,0.006981728,0.094562648,0.001303551,0.02297784,0.034930735,0.074147721
10455,"42,779","20,754","22,025","3,972","3,521","3,170","2,986","3,477","7,404","5,282","5,152","2,226","1,840","2,358","1,050",341,30.5,"30,000","28,326","4,421","3,749","30,000","13,817","16,183","3,749","1,282","2,467","41,731","1,048","41,731","3,963","12,137",336,430,91,"24,774","1,048","30,978",0.48514458,0.51485542,0.092849295,0.082306739,0.074101779,0.069800603,0.081278197,0.173075574,0.123471797,0.120432923,0.052034877,0.043011758,0.055120503,0.024544753,0.007971201,0.000712967,0.701278665,0.662147315,0.103345099,0.087636457,0.701278665,0.322985577,0.378293088,0.087636457,0.029967975,0.057668482,0.975501999,0.024498001,0.975501999,0.092638912,0.283713972,0.007854321,0.010051661,0.002127212,0.579115921,0.024498001,0.724140349
