,address,days_on_trulia,elementary_school_count,high_school_count,middle_school_count,pets_allowed,price,sqft,url,zip_code,school_count,evac,guarantor,storage,garage,deck,elevator,dishwasher,pets,fios available,live in super,fitness center,washing machine,dryer,concierge,balcony,air conditioning,flooring: hardwood,recreation facilities,garden,pied a terre,childrens playroom,terrace,courtyard,pool,furnished,fireplace,sublets,valet parking,off-street parking,cable tv ready,board approval required,parents,co purchase,leed registered,microwave oven
1047,"27 West 71st Street, Manhattan, NY",15,29,10,20,0,3100,750,https://www.trulia.com/p/ny/manhattan/27-w-71st-st-4b-manhattan-ny-10023--2194317419,10023,59,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,"341 East 85th Street, Manhattan, NY",15,30,7,19,0,2100,,https://www.trulia.com/p/ny/manhattan/341-e-85th-st-16-manhattan-ny-10028--2173830072,10028,56,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,"133 Fort George Avenue, Manhattan, NY",15,23,7,10,0,1740,,https://www.trulia.com/p/ny/manhattan/133-fort-george-ave-c-manhattan-ny-10040--2351495460,10040,40,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"242 East 26th Street, Manhattan, NY",2,41,15,21,0,2600,700,https://www.trulia.com/p/ny/manhattan/242-e-26th-st-1-manhattan-ny-10010--2174097099,10010,77,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1050,"307 East 89th Street, Manhattan, NY",15,27,8,18,0,2495,700,https://www.trulia.com/p/ny/manhattan/307-e-89th-st-4a-manhattan-ny-10128--2332529426,10128,53,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,"117 East 77th Street, New York, NY",15,30,8,20,1,3300,,https://www.trulia.com/p/ny/new-york/117-e-77th-st-5d-new-york-ny-10075--2175013452,10075,58,,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,"175 West 87th Street, Manhattan, NY",15,26,8,16,0,3495,,https://www.trulia.com/p/ny/manhattan/175-w-87th-st-17f-manhattan-ny-10024--2171606167,10024,50,,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,"90 West Houston Street, Manhattan, NY",15,41,14,17,0,2750,,https://www.trulia.com/p/ny/manhattan/90-w-houston-st-2r-manhattan-ny-10012--2171810692,10012,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,"435 East 74th Street, Manhattan, NY",15,31,8,21,0,1995,,https://www.trulia.com/p/ny/manhattan/435-e-74th-st-4c-manhattan-ny-10021--2196935033,10021,60,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,"509 East 6th Street, Manhattan, NY",15,39,14,18,0,3800,,https://www.trulia.com/p/ny/manhattan/509-e-6th-st-3f-manhattan-ny-10009--2173450583,10009,71,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,"237 9th Avenue, Manhattan, NY",15,43,14,24,0,2759,,https://www.trulia.com/p/ny/manhattan/237-9th-ave-2c-manhattan-ny-10001--2171786715,10001,81,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,"200 Water Street, Manhattan, NY",2,30,10,13,0,3508,,https://www.trulia.com/p/ny/manhattan/200-water-st-2402-manhattan-ny-10038--2008691219,10038,53,,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
